File,Solver,Skyline,Skyline sorted,Concat,Annealing skyline
data/random/random_10_0.txt,1.6244920889998866,0.00032700199994906143,0.00033826599997155427,0.0024740170001678052,3.602593894999927
data/random/random_20_0.txt,0.50113460700004,0.0007936099998460122,0.0007973650001531496,0.0063570780000645755,7.543364935999989
data/random/random_50_0.txt,1.2273324309999225,0.0038304939998852205,0.003681671000094866,0.007344226999975945,16.997356679000177
data/random/random_100_0.txt,300.00076556307823,0.011746120999987397,0.009052282000084233,0.46770021499992254,40.091561512
data/random/guillotine_rand_10_0.txt,1.0146154080002816,0.0005082520001451485,0.0004341819999353902,0.001261244000033912,2.0263471929999923
data/random/guillotine_rand_20_0.txt,300.0071643246208,0.0014964250001412438,0.001980443000093146,0.006144082999981038,5.156989507999924
data/random/guillotine_rand_50_0.txt,300.004831527765,0.007298488000060388,0.008502045000113867,0.021831292000115354,17.154621987999917
data/random/guillotine_rand_100_0.txt,300.004410418211,0.03495027400003892,0.03019611900003838,0.17892149499994048,46.50106804699999
data/random/guillotine_equal_10_0.txt,1.399952828000096,0.00040243700004793936,0.0003512360001423076,0.0010083130000566598,1.9087921140001072
data/random/guillotine_equal_20_0.txt,300.0045993434982,0.001195706999851609,0.0011424580000038986,0.010153778999892893,5.094101407000153
data/random/guillotine_equal_50_0.txt,300.0083036274453,0.01456488899998476,0.005740962999880139,0.03071358700003657,17.5579960460002
data/random/guillotine_equal_100_0.txt,300.00601373236316,0.023792960000037056,0.02334273600013148,0.03370780399995965,47.75041506699995
data/random/guillotine_max_10_0.txt,1.112132241999916,0.00046865700005582767,0.0011509909998039802,0.001128121999954601,2.0673995649999597
data/random/guillotine_max_20_0.txt,300.00819757164777,0.0011622559998158977,0.0018606329999784066,0.008040556999958426,5.009388498999897
data/random/guillotine_max_50_0.txt,300.00160004900926,0.005868281999937608,0.006550274999881367,0.018400504000055662,16.342783843000007
data/random/guillotine_max_100_0.txt,300.0085898524756,0.023342735999904107,0.02224055600004249,0.08220270800006801,44.25444797499995
data/random/random_10_1.txt,300.00038846001104,0.0005164439999134629,0.0004181389999757812,0.002042907999793897,2.328784890999941
data/random/random_20_1.txt,300.0092239415992,0.0015380679999452695,0.009524011000166865,0.007521040000028734,4.854900315000123
data/random/random_50_1.txt,300.00581431405493,0.00601710500018271,0.006839388000116742,0.025594201000103567,16.826715019000176
data/random/random_100_1.txt,300.00145548714636,0.026798783000003823,0.023317135999832317,0.16542738200018903,45.45304589500006
